name,model,estimate,conf.low,conf.high,n,totalN
Any mental disorder,mod1,0.8441015505144357,0.839620462110836,0.8486024748034481,52778,272351
Any mental disorder,mod2,0.8475936109432175,0.8427844818006431,0.8524265244497208,52778,272351
Any mental disorder,mod3,0.8799756632728705,0.8747095806787475,0.8852722306579993,52778,272351
Anxiety disorder,mod1,0.8214454142751215,0.812300908466651,0.8306822970649546,9832,272351
Anxiety disorder,mod2,0.8305801915355184,0.8207039527553095,0.8405684578343493,9832,272351
Anxiety disorder,mod3,0.8642400025630017,0.8533292654673124,0.8752927053903422,9832,272351
Depressiv disorder,mod1,0.8696331084603484,0.8633535970934166,0.8759538536082168,24647,272351
Depressiv disorder,mod2,0.8790102311311976,0.8722226198305086,0.88584760871086,24647,272351
Depressiv disorder,mod3,0.9091015436638639,0.9016720233753883,0.916593618892029,24647,272351
Personality disorder,mod1,0.7999735440487742,0.7824221350767224,0.8178815368590275,2438,272351
Personality disorder,mod2,0.8083265037461099,0.7894159775253553,0.827669465672865,2438,272351
Personality disorder,mod3,0.855081565272646,0.8336507537272276,0.8770716548277014,2438,272351
Hyperkinetic disorder,mod1,0.7320313334056844,0.7188401668185455,0.7454301349142687,3771,272351
Hyperkinetic disorder,mod2,0.7322756365130269,0.7182623547764624,0.7465396488696572,3771,272351
Hyperkinetic disorder,mod3,0.7868850661111593,0.7706624533526242,0.8034415027078352,3771,272351
Mental disorder NOS,mod1,0.7991417935981666,0.7853637169433756,0.8131374590671212,3997,272351
Mental disorder NOS,mod2,0.795176266823812,0.7806217700697136,0.8099902569414008,3997,272351
Mental disorder NOS,mod3,0.8291913786950055,0.8130578066163783,0.845654234426246,3997,272351
Chronic alcohol abuse,mod1,0.7598508622020047,0.7449935718332016,0.7749684334186778,3140,272351
Chronic alcohol abuse,mod2,0.7698707567157169,0.7538676790391291,0.7861908204122401,3140,272351
Chronic alcohol abuse,mod3,0.8169259627902629,0.7987231484480963,0.8355429762206662,3140,272351
Medication abuse,mod1,0.6773069000182241,0.6569204812760256,0.6982198475516204,1365,272351
Medication abuse,mod2,0.6957001277034474,0.6734761221813838,0.7185781575516638,1365,272351
Medication abuse,mod3,0.7688006223355099,0.7421485090454303,0.7963491916242144,1365,272351
Drug abuse,mod1,0.7058769280034819,0.6947071460137824,0.7171965149868249,5022,272351
Drug abuse,mod2,0.7168933648102617,0.7048520229155962,0.7291186691085791,5022,272351
Drug abuse,mod3,0.8085456988607419,0.7937159443361235,0.8236317134647428,5022,272351
Sleep disturbance,mod1,0.88862008770021,0.8812995799313593,0.8959971195791209,18303,272351
Sleep disturbance,mod2,0.8906241386467172,0.882762486866705,0.8985532284593111,18303,272351
Sleep disturbance,mod3,0.9162993057622246,0.9077549673045766,0.9249271474636839,18303,272351
Affective psychosis,mod1,0.9428763846695897,0.9218428279886939,0.9643832119443353,2291,272351
Affective psychosis,mod2,0.926825791495724,0.9047405922692522,0.9494628093491686,2291,272351
Affective psychosis,mod3,0.9741859946304335,0.9493140618363995,0.9997523546872586,2291,272351
Psychosis,mod1,0.7646308596837833,0.7425361492676531,0.7873092234171797,1409,272351
Psychosis,mod2,0.753013127505975,0.7299894001161803,0.776729730417625,1409,272351
Psychosis,mod3,0.7851817186793708,0.7597043726535311,0.8115372485915645,1409,272351
PTSD,mod1,0.7789535402110348,0.7560870819502413,0.8024399896666387,1356,272351
PTSD,mod2,0.7805013793189677,0.7561229046126092,0.8056275698748122,1356,272351
PTSD,mod3,0.8170510361445854,0.7898962420341911,0.8451592753088063,1356,272351
Schizophrenia,mod1,0.7852942164695397,0.7665468498929615,0.8044533551023151,2063,272351
Schizophrenia,mod2,0.7549970163384767,0.7360239290725252,0.7744444353334755,2063,272351
Schizophrenia,mod3,0.7995301136362795,0.7779789951376895,0.8216964531680884,2063,272351
Phobia,mod1,0.8343902960789886,0.8195569315810397,0.8494713607970386,3709,272351
Phobia,mod2,0.8450249432215725,0.8289488270399318,0.8614013252247175,3709,272351
Phobia,mod3,0.8802848864767432,0.8624754150979164,0.8984736583905497,3709,272351
Suicide attempt,mod1,0.7064365110853923,0.6847593029967304,0.728698234180243,1286,272351
Suicide attempt,mod2,0.7168676966069784,0.6935420594220958,0.7409096252098878,1286,272351
Suicide attempt,mod3,0.7509127024058135,0.7249835606450716,0.7777606913182358,1286,272351
